experiment,run,seed,lambda_penalty,best_fidelity,final_fidelity,success,record_count,source_path
train_architect_lambda_sweep,lambda_sweep,0,0.001,0.9999999403953551,0.12499998509883878,True,2955,lambda_sweep/lambda_0.001/seed_0_results.json
train_architect_lambda_sweep,lambda_sweep,0,0.005,0.9999999403953551,0.24999998509883878,True,3058,lambda_sweep/lambda_0.005/seed_0_results.json
train_architect_lambda_sweep,lambda_sweep,0,0.01,0.9999999403953551,0.24999998509883878,True,2895,lambda_sweep/lambda_0.01/seed_0_results.json
train_architect_lambda_sweep,lambda_sweep,0,0.05,0.9999999403953551,0.24999998509883878,True,2951,lambda_sweep/lambda_0.05/seed_0_results.json
train_architect_lambda_sweep,lambda_sweep,0,0.1,0.9999999403953551,0.24999998509883878,True,2834,lambda_sweep/lambda_0.1/seed_0_results.json
train_architect_lambda_sweep,lambda_sweep,1,0.001,0.9999999403953551,0.24999997019767756,True,2857,lambda_sweep/lambda_0.001/seed_1_results.json
train_architect_lambda_sweep,lambda_sweep,1,0.005,0.9999999403953551,0.24999997019767756,True,3022,lambda_sweep/lambda_0.005/seed_1_results.json
train_architect_lambda_sweep,lambda_sweep,1,0.01,0.9999999403953551,0.24999997019767756,True,3068,lambda_sweep/lambda_0.01/seed_1_results.json
train_architect_lambda_sweep,lambda_sweep,1,0.05,0.9999999403953551,0.4999999403953551,True,2935,lambda_sweep/lambda_0.05/seed_1_results.json
train_architect_lambda_sweep,lambda_sweep,1,0.1,0.9999998807907102,0.24999998509883878,True,2765,lambda_sweep/lambda_0.1/seed_1_results.json
train_architect_lambda_sweep,lambda_sweep,2,0.001,0.9999999403953551,0.0,True,2874,lambda_sweep/lambda_0.001/seed_2_results.json
train_architect_lambda_sweep,lambda_sweep,2,0.005,0.9999999403953551,0.0,True,2850,lambda_sweep/lambda_0.005/seed_2_results.json
train_architect_lambda_sweep,lambda_sweep,2,0.01,0.9999999403953551,0.0,True,2992,lambda_sweep/lambda_0.01/seed_2_results.json
train_architect_lambda_sweep,lambda_sweep,2,0.05,0.9999999403953551,0.4999999999999999,True,2921,lambda_sweep/lambda_0.05/seed_2_results.json
train_architect_lambda_sweep,lambda_sweep,2,0.1,0.9999999403953551,0.0,True,2726,lambda_sweep/lambda_0.1/seed_2_results.json
train_architect_lambda_sweep,lambda_sweep,3,0.001,0.9999999403953551,0.24999997019767756,True,3028,lambda_sweep/lambda_0.001/seed_3_results.json
train_architect_lambda_sweep,lambda_sweep,3,0.005,0.9999999403953551,0.2499999552965164,True,3126,lambda_sweep/lambda_0.005/seed_3_results.json
train_architect_lambda_sweep,lambda_sweep,3,0.01,0.9999999403953551,0.24999998509883878,True,3052,lambda_sweep/lambda_0.01/seed_3_results.json
train_architect_lambda_sweep,lambda_sweep,3,0.05,0.9999999403953551,0.07322329282760619,True,2849,lambda_sweep/lambda_0.05/seed_3_results.json
train_architect_lambda_sweep,lambda_sweep,3,0.1,0.9999999403953551,0.24999998509883878,True,2817,lambda_sweep/lambda_0.1/seed_3_results.json
train_architect_lambda_sweep,lambda_sweep,4,0.001,0.9999999403953551,0.12499995529651639,True,2944,lambda_sweep/lambda_0.001/seed_4_results.json
train_architect_lambda_sweep,lambda_sweep,4,0.005,0.9999999403953551,0.24999998509883878,True,3097,lambda_sweep/lambda_0.005/seed_4_results.json
train_architect_lambda_sweep,lambda_sweep,4,0.01,0.9999999403953551,0.21338830888271326,True,3065,lambda_sweep/lambda_0.01/seed_4_results.json
train_architect_lambda_sweep,lambda_sweep,4,0.05,0.9999999403953551,0.0624999888241291,True,3033,lambda_sweep/lambda_0.05/seed_4_results.json
train_architect_lambda_sweep,lambda_sweep,4,0.1,0.9999999403953551,0.12499998509883878,True,2956,lambda_sweep/lambda_0.1/seed_4_results.json
