attack_mode,circuit,variant,mean,std,delta_vs_base,ci_low,ci_high
random_high,vanilla,baseline,0.547171829175204,0.037343330791448894,0.0,,
random_high,vanilla,mitigated,0.5444427082315088,0.03147040395662582,-0.0027291209436952624,,
random_high,robust,baseline,0.8400054574012754,0.03933809373340633,0.0,,
random_high,robust,mitigated,0.8415195938199757,0.03911904446367795,0.0015141364187002404,,
random_high,quantumnas,baseline,0.665245280601084,0.0122393620510117,0.0,,
random_high,quantumnas,mitigated,0.6666578825563191,0.010100982615892717,0.001412601955235071,,
asymmetric_noise,vanilla,baseline,0.3356198504567146,0.06981635133976137,0.0,,
asymmetric_noise,vanilla,mitigated,0.46597093908737097,0.0690840613412015,0.13035108863065636,,
asymmetric_noise,robust,baseline,0.7060791492462157,0.09023245514267587,0.0,,
asymmetric_noise,robust,mitigated,0.8943550725777939,0.06163950420784748,0.18827592333157817,,
asymmetric_noise,quantumnas,baseline,0.5362367764115332,0.06142433484030812,0.0,,
asymmetric_noise,quantumnas,mitigated,0.7401131540536877,0.07201448414122917,0.2038763776421545,,
over_rotation,vanilla,baseline,0.7011960804462432,0.12378564281610083,0.0,,
over_rotation,vanilla,mitigated,1.0,0.0,0.29880391955375685,,
over_rotation,robust,baseline,0.958920896053314,0.01973199502341611,0.0,,
over_rotation,robust,mitigated,1.0,0.0,0.04107910394668601,,
over_rotation,quantumnas,baseline,0.9193080395460127,0.07726403598685208,0.0,,
over_rotation,quantumnas,mitigated,1.0,0.0,0.0806919604539873,,
amplitude_damping,vanilla,baseline,0.8314672753214835,0.04558028878798142,0.0,,
amplitude_damping,vanilla,mitigated,0.9367629987498114,0.03634415146628459,0.10529572342832794,,
amplitude_damping,robust,baseline,0.8963911235332487,0.0,0.0,,
amplitude_damping,robust,mitigated,0.9787343069910992,1.2412670766236366e-16,0.08234318345785052,,
amplitude_damping,quantumnas,baseline,0.7282613188028334,0.10371739788099146,0.0,,
amplitude_damping,quantumnas,mitigated,0.8898602895438664,0.06583319857311067,0.16159897074103302,,
phase_damping,vanilla,baseline,0.8891543030738829,0.0453589386952344,0.0,,
phase_damping,vanilla,mitigated,0.9711600994070363,0.02416880662505271,0.08200579633315341,,
phase_damping,robust,baseline,0.9398239403963087,1.2412670766236366e-16,0.0,,
phase_damping,robust,mitigated,0.9924748490254067,1.2412670766236366e-16,0.05265090862909805,,
phase_damping,quantumnas,baseline,0.8516261994838713,0.024832344871993654,0.0,,
phase_damping,quantumnas,mitigated,0.9691873292128237,0.007327953434020723,0.11756112972895238,,
readout,vanilla,baseline,0.4875203311443328,0.05691626519118181,0.0,,
readout,vanilla,mitigated,0.6785191585620242,0.042732498721878474,0.19099882741769136,,
readout,robust,baseline,0.8090056598186491,0.06350898896754183,0.0,,
readout,robust,mitigated,0.9555895651380215,0.028081988797719497,0.14658390531937238,,
readout,quantumnas,baseline,0.6788533419370649,0.051852088580870155,0.0,,
readout,quantumnas,mitigated,0.8736207808057463,0.04274829465411641,0.19476743886868142,,
