method,variant,noise_family,rate,energy,seed
RL,untwirled,depolarizing,0.0,2.2149986297333286,0
RL,untwirled,depolarizing,0.01,2.2149986297333286,0
RL,untwirled,depolarizing,0.02,3.392161608461543,0
RL,untwirled,depolarizing,0.05,2.214995823656197,0
RL,untwirled,depolarizing,0.1,3.392161608453076,0
RL,untwirled,amplitude_damping,0.0,2.2149986297333286,0
RL,untwirled,amplitude_damping,0.01,2.2149986297594983,0
RL,untwirled,amplitude_damping,0.02,2.214998629839511,0
RL,untwirled,amplitude_damping,0.05,2.2149986297333286,0
RL,untwirled,amplitude_damping,0.1,2.2149986297333286,0
RL,untwirled,coherent_overrotation,0.0,2.2149986297333286,0
RL,untwirled,coherent_overrotation,0.01,2.2149986307490104,0
RL,untwirled,coherent_overrotation,0.02,2.214998633795049,0
RL,untwirled,coherent_overrotation,0.05,2.214998655075295,0
RL,untwirled,coherent_overrotation,0.1,2.2149987304772,0
RL,untwirled,readout,0.0,2.2149986297333286,0
RL,untwirled,readout,0.01,0.15348740634134694,0
RL,untwirled,readout,0.02,2.2149986297333286,0
RL,untwirled,readout,0.05,0.08929654564932445,0
RL,untwirled,readout,0.1,0.6041093690737604,0
RL,mitigated,depolarizing,0.0,2.2149982977565825,0
RL,mitigated,depolarizing,0.01,1.528519288315884,0
RL,mitigated,depolarizing,0.02,1.5283222945528863,0
RL,mitigated,depolarizing,0.05,5.632492825194097,0
RL,mitigated,depolarizing,0.1,-0.10467468377144937,0
RL,mitigated,amplitude_damping,0.0,2.2150044746159763,0
RL,mitigated,amplitude_damping,0.01,3.4902536716486754,0
RL,mitigated,amplitude_damping,0.02,3.6864505889491794,0
RL,mitigated,amplitude_damping,0.05,-0.5304960745373908,0
RL,mitigated,amplitude_damping,0.1,0.4499086867918793,0
RL,mitigated,coherent_overrotation,0.0,2.215003102504782,0
RL,mitigated,coherent_overrotation,0.01,2.215002408992892,0
RL,mitigated,coherent_overrotation,0.02,2.2150067507750357,0
RL,mitigated,coherent_overrotation,0.05,2.215005586342355,0
RL,mitigated,coherent_overrotation,0.1,2.2150046506900742,0
RL,mitigated,readout,0.0,2.215001396145124,0
RL,mitigated,readout,0.01,0.8416462939335836,0
RL,mitigated,readout,0.02,1.3287204427315944,0
RL,mitigated,readout,0.05,0.8464944221220586,0
RL,mitigated,readout,0.1,1.7224539803186858,0
RL,untwirled,depolarizing,0.0,2.2149986297333286,1
RL,untwirled,depolarizing,0.01,2.2149986297333286,1
RL,untwirled,depolarizing,0.02,3.3921616084615422,1
RL,untwirled,depolarizing,0.05,3.3921616084615422,1
RL,untwirled,depolarizing,0.1,3.3921616084529767,1
RL,untwirled,amplitude_damping,0.0,2.2149986297333286,1
RL,untwirled,amplitude_damping,0.01,3.392161608461543,1
RL,untwirled,amplitude_damping,0.02,2.214998629839511,1
RL,untwirled,amplitude_damping,0.05,2.2149986304281573,1
RL,untwirled,amplitude_damping,0.1,2.2149986327452584,1
RL,untwirled,coherent_overrotation,0.0,2.2149986297333286,1
RL,untwirled,coherent_overrotation,0.01,2.2149986307490095,1
RL,untwirled,coherent_overrotation,0.02,2.214998633795049,1
RL,untwirled,coherent_overrotation,0.05,2.214998655075295,1
RL,untwirled,coherent_overrotation,0.1,2.2149987304771734,1
RL,untwirled,readout,0.0,2.2149986297333286,1
RL,untwirled,readout,0.01,3.3921616084615422,1
RL,untwirled,readout,0.02,2.2149986297333286,1
RL,untwirled,readout,0.05,3.392161608461543,1
RL,untwirled,readout,0.1,2.2149986297333286,1
RL,mitigated,depolarizing,0.0,2.2150000058914614,1
RL,mitigated,depolarizing,0.01,4.443254852241469,1
RL,mitigated,depolarizing,0.02,0.7844879421062281,1
RL,mitigated,depolarizing,0.05,1.3332377357112721,1
RL,mitigated,depolarizing,0.1,2.437688563261414,1
RL,mitigated,amplitude_damping,0.0,2.2150020733729376,1
RL,mitigated,amplitude_damping,0.01,2.4111900338310264,1
RL,mitigated,amplitude_damping,0.02,4.036106739485894,1
RL,mitigated,amplitude_damping,0.05,5.103448415373138,1
RL,mitigated,amplitude_damping,0.1,0.3511799150694153,1
RL,mitigated,coherent_overrotation,0.0,2.2150044658702233,1
RL,mitigated,coherent_overrotation,0.01,2.2150037966783875,1
RL,mitigated,coherent_overrotation,0.02,2.214998319872905,1
RL,mitigated,coherent_overrotation,0.05,2.2150060914276297,1
RL,mitigated,coherent_overrotation,0.1,2.2150072460324415,1
RL,mitigated,readout,0.0,2.214999315847534,1
RL,mitigated,readout,0.01,0.8416493835681375,1
RL,mitigated,readout,0.02,2.081196385234263,1
RL,mitigated,readout,0.05,3.1749317177996135,1
RL,mitigated,readout,0.1,1.5539350209930136,1
RL,untwirled,depolarizing,0.0,2.21499862973333,2
RL,untwirled,depolarizing,0.01,2.21499862973333,2
RL,untwirled,depolarizing,0.02,2.21499862973333,2
RL,untwirled,depolarizing,0.05,2.403554081444907,2
RL,untwirled,depolarizing,0.1,2.21499862973333,2
RL,untwirled,amplitude_damping,0.0,2.21499862973333,2
RL,untwirled,amplitude_damping,0.01,2.214998629737565,2
RL,untwirled,amplitude_damping,0.02,2.2149986297511,2
RL,untwirled,amplitude_damping,0.05,2.4289029285398036,2
RL,untwirled,amplitude_damping,0.1,2.455585992550914,2
RL,untwirled,coherent_overrotation,0.0,2.21499862973333,2
RL,untwirled,coherent_overrotation,0.01,2.2149986298960243,2
RL,untwirled,coherent_overrotation,0.02,2.214998630383944,2
RL,untwirled,coherent_overrotation,0.05,2.2149986337926575,2
RL,untwirled,coherent_overrotation,0.1,2.2149986458706983,2
RL,untwirled,readout,0.0,2.21499862973333,2
RL,untwirled,readout,0.01,2.21499862973333,2
RL,untwirled,readout,0.02,2.21499862973333,2
RL,untwirled,readout,0.05,2.403554081444907,2
RL,untwirled,readout,0.1,2.21499862973333,2
RL,mitigated,depolarizing,0.0,2.2149989583803658,2
RL,mitigated,depolarizing,0.01,2.7142974463695797,2
RL,mitigated,depolarizing,0.02,2.2778511613501986,2
RL,mitigated,depolarizing,0.05,1.4495898532750255,2
RL,mitigated,depolarizing,0.1,2.4033377410634342,2
RL,mitigated,amplitude_damping,0.0,2.2149994563730697,2
RL,mitigated,amplitude_damping,0.01,2.1050084576807238,2
RL,mitigated,amplitude_damping,0.02,3.3556345250462565,2
RL,mitigated,amplitude_damping,0.05,3.3958128585392733,2
RL,mitigated,amplitude_damping,0.1,3.6666364830872578,2
RL,mitigated,coherent_overrotation,0.0,2.2149990699741586,2
