clean_energy,worst_energy,hf,fci,method
1.0,1.0,1.0,-1.0,RL
1.0,1.0,1.0,-1.0,RL
1.0,1.0,1.0,-1.0,RL
1.0,1.0,1.0,-1.0,RL
1.0,1.0,1.0,-1.0,RL
-1.0000005960464478,-0.950000524520874,-1.0,-1.0,HEA adversarial
-1.0000007152557373,-0.9500006437301636,-1.0,-1.0,HEA adversarial
-1.0000004768371582,-0.9500004649162292,-1.0,-1.0,HEA adversarial
-1.0000005960464478,-0.950000524520874,-1.0,-1.0,HEA adversarial
-1.0000005960464478,-0.950000524520874,-1.0,-1.0,HEA adversarial
-1.0000000000000004,-1.0000000000000004,-1.0,-1.0,Architect adversarial
-1.0000000000000004,-1.0000000000000004,-1.0,-1.0,Architect adversarial
-1.0000000000000004,1.0000000000000004,-1.0,-1.0,Architect adversarial
-1.0000000000000004,1.0000000000000004,-1.0,-1.0,Architect adversarial
-1.0000000000000004,-1.0000000000000004,-1.0,-1.0,Architect adversarial
